first_name,last_name,Actor_Name
KIRSTEN,AKROYD,"KIRSTEN AKROYD"
ELLEN,PRESLEY,"ELLEN PRESLEY"
KENNETH,TORN,"KENNETH TORN"
DARYL,WAHLBERG,"DARYL WAHLBERG"
GENE,WILLIS,"GENE WILLIS"
MEG,HAWKE,"MEG HAWKE"
CHRIS,BRIDGES,"CHRIS BRIDGES"
JIM,MOSTEL,"JIM MOSTEL"
SPENCER,DEPP,"SPENCER DEPP"
SUSAN,DAVIS,"SUSAN DAVIS"
WALTER,TORN,"WALTER TORN"
MATTHEW,LEIGH,"MATTHEW LEIGH"
PENELOPE,CRONYN,"PENELOPE CRONYN"
SIDNEY,CROWE,"SIDNEY CROWE"
GROUCHO,DUNST,"GROUCHO DUNST"
GINA,DEGENERES,"GINA DEGENERES"
WARREN,NOLTE,"WARREN NOLTE"
SYLVESTER,DERN,"SYLVESTER DERN"
SUSAN,DAVIS,"SUSAN DAVIS"
CAMERON,ZELLWEGER,"CAMERON ZELLWEGER"
RUSSELL,BACALL,"RUSSELL BACALL"
MORGAN,HOPKINS,"MORGAN HOPKINS"
MORGAN,MCDORMAND,"MORGAN MCDORMAND"
HARRISON,BALE,"HARRISON BALE"
DAN,STREEP,"DAN STREEP"
RENEE,TRACY,"RENEE TRACY"
CUBA,ALLEN,"CUBA ALLEN"
WARREN,JACKMAN,"WARREN JACKMAN"
PENELOPE,MONROE,"PENELOPE MONROE"
LIZA,BERGMAN,"LIZA BERGMAN"
SALMA,NOLTE,"SALMA NOLTE"
JULIANNE,DENCH,"JULIANNE DENCH"
SCARLETT,BENING,"SCARLETT BENING"
ALBERT,NOLTE,"ALBERT NOLTE"
FRANCES,TOMEI,"FRANCES TOMEI"
KEVIN,GARLAND,"KEVIN GARLAND"
CATE,MCQUEEN,"CATE MCQUEEN"
DARYL,CRAWFORD,"DARYL CRAWFORD"
GRETA,KEITEL,"GRETA KEITEL"
JANE,JACKMAN,"JANE JACKMAN"
ADAM,HOPPER,"ADAM HOPPER"
RICHARD,PENN,"RICHARD PENN"
GENE,HOPKINS,"GENE HOPKINS"
RITA,REYNOLDS,"RITA REYNOLDS"
ED,MANSFIELD,"ED MANSFIELD"
MORGAN,WILLIAMS,"MORGAN WILLIAMS"
LUCILLE,DEE,"LUCILLE DEE"
EWAN,GOODING,"EWAN GOODING"
WHOOPI,HURT,"WHOOPI HURT"
CATE,HARRIS,"CATE HARRIS"
JADA,RYDER,"JADA RYDER"
RIVER,DEAN,"RIVER DEAN"
ANGELA,WITHERSPOON,"ANGELA WITHERSPOON"
KIM,ALLEN,"KIM ALLEN"
ALBERT,JOHANSSON,"ALBERT JOHANSSON"
FAY,WINSLET,"FAY WINSLET"
EMILY,DEE,"EMILY DEE"
RUSSELL,TEMPLE,"RUSSELL TEMPLE"
JAYNE,NOLTE,"JAYNE NOLTE"
GEOFFREY,HESTON,"GEOFFREY HESTON"
BEN,HARRIS,"BEN HARRIS"
MINNIE,KILMER,"MINNIE KILMER"
MERYL,GIBSON,"MERYL GIBSON"
IAN,TANDY,"IAN TANDY"
FAY,WOOD,"FAY WOOD"
GRETA,MALDEN,"GRETA MALDEN"
VIVIEN,BASINGER,"VIVIEN BASINGER"
LAURA,BRODY,"LAURA BRODY"
CHRIS,DEPP,"CHRIS DEPP"
HARVEY,HOPE,"HARVEY HOPE"
OPRAH,KILMER,"OPRAH KILMER"
CHRISTOPHER,WEST,"CHRISTOPHER WEST"
HUMPHREY,WILLIS,"HUMPHREY WILLIS"
AL,GARLAND,"AL GARLAND"
NICK,DEGENERES,"NICK DEGENERES"
LAURENCE,BULLOCK,"LAURENCE BULLOCK"
WILL,WILSON,"WILL WILSON"
KENNETH,HOFFMAN,"KENNETH HOFFMAN"
MENA,HOPPER,"MENA HOPPER"
OLYMPIA,PFEIFFER,"OLYMPIA PFEIFFER"
GROUCHO,WILLIAMS,"GROUCHO WILLIAMS"
ALAN,DREYFUSS,"ALAN DREYFUSS"
MICHAEL,BENING,"MICHAEL BENING"
WILLIAM,HACKMAN,"WILLIAM HACKMAN"
JON,CHASE,"JON CHASE"
GENE,MCKELLEN,"GENE MCKELLEN"
LISA,MONROE,"LISA MONROE"
ED,GUINESS,"ED GUINESS"
JEFF,SILVERSTONE,"JEFF SILVERSTONE"
MATTHEW,CARREY,"MATTHEW CARREY"
DEBBIE,AKROYD,"DEBBIE AKROYD"
RUSSELL,CLOSE,"RUSSELL CLOSE"
HUMPHREY,GARLAND,"HUMPHREY GARLAND"
MICHAEL,BOLGER,"MICHAEL BOLGER"
JULIA,ZELLWEGER,"JULIA ZELLWEGER"
RENEE,BALL,"RENEE BALL"
ROCK,DUKAKIS,"ROCK DUKAKIS"
CUBA,BIRCH,"CUBA BIRCH"
AUDREY,BAILEY,"AUDREY BAILEY"
GREGORY,GOODING,"GREGORY GOODING"
JOHN,SUVARI,"JOHN SUVARI"
BURT,TEMPLE,"BURT TEMPLE"
MERYL,ALLEN,"MERYL ALLEN"
JAYNE,SILVERSTONE,"JAYNE SILVERSTONE"
BELA,WALKEN,"BELA WALKEN"
REESE,WEST,"REESE WEST"
MARY,KEITEL,"MARY KEITEL"
JULIA,FAWCETT,"JULIA FAWCETT"
THORA,TEMPLE,"THORA TEMPLE"
